1.wav,"Despite the thunderstorm, we have landed at Bangalore international airport where the local time is twenty hours and the temperature is twenty degree."
2.wav,"This is the captain of the flight, Jack speaking. We are all geared up and can commence our taxing for take-off to Thailand in a few moments."
3.wav,Air Asia now allows passengers from Europe to bring food such as sandwiches and pickles inside the plane if it passes the Asian aviation regulations.
4.wav,JetBlue Airlines provides magazines for your reading pleasure. It has information about the short-haul feeder flight four three two flight to Brazil.
5.wav,"The food and beverage options on this short-haul carrier aircraft flight will start from four-thirty P.M, and you can place your order with Jenna. "
6.wav,"This is your captain, Cathy Ann, speaking. It is lovely to have you with us on this flight to the Netherlands. We have a long journey ahead of us. "
7.wav,"According to Thai Air guidelines, this flight three two two will stop at the city of New York for three hours before continuing to Thailand. "
8.wav,"The route is out across Singapore, passing Kochi and through Melbourne over Taipei, and then we head past San Francisco into Ottawa. "
9.wav,"On behalf of spice jet airlines and the entire crew, I would like to thank you for joining us on this trip, and look forward to see you again soon."
10.wav,"Lufthansa airlines offers a wide variety of onboard entertainment services. For further details, please refer to your copy of the entertainment guide."
11.wav,We at Frontier airlines are proud to partner with Air India and Air Corsica to provide the best traveling experience throughout India and Sri Lanka.
12.wav,"I am Jack, the head of flight attendants. I welcome everyone on behalf of American Airlines aboard this Boeing seven three seven Airbus to Canada."
13.wav,"We invite you now to sit back, relax and enjoy the Indigo flight to Bangalore, and do not hesitate to call us to make your flight more comfortable."
14.wav,"We thank you for flying with Air Caraibes Airlines. As we prepare for take-off, please relax, but remember the nearest location of the exit doors. "
15.wav,New Zealand quarantine authorities has restricted the entry of meat or uncooked fish products from entry into any state throughout the country.
16.wav,"Air Asia aims to provide the best facilities, so we are installing wi-fi and flatbeds in the jet air carriers seven twenty and seven thirty flights."
17.wav,"I hope you enjoyed flying with JetBlue airlines for the past twenty hours, and this a two-hour layover in the city of Paris. Could increase to three."
18.wav,"Welcome on board the Cathay Dragon flight to Canada. In a very short time, we will begin taxing and take off in a exactly twenty minutes. "
19.wav,Our Go first flight contains video and audio entertainment throughout our journey to Paris on this flight five five three that you might enjoy. 
